Store,Date,Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,day,dayofweek,weekofyear,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_30
1,2012-03-02,1935299.94,0,55.21,3.36,219.8118854,7.057,2012,3,2,4,9,1952555.66,1929153.16,1837743.6,2378726.55,1938920.5028571428,1934202.2376666665
1,2012-03-08,1946104.64,0,90.22,3.417,221.5869799,6.565,2012,3,8,3,10,1935299.94,2168041.61,1758050.79,2025538.76,1939798.6142857145,1936015.4816666667
1,2012-04-05,1923957.09,0,76.73,3.749,221.3095166,6.891,2012,4,5,3,14,1946104.64,1879107.31,1837553.43,2137809.5,1908093.332857143,1939581.342
1,2012-05-10,1998321.04,0,70.27,3.617,222.8159296,6.17,2012,5,10,3,19,1923957.09,1920725.15,1847552.61,1990483.78,1914500.4442857143,1924422.3599999999
1,2012-06-01,1799520.14,0,46.75,3.157,219.355063,7.057,2012,6,1,4,22,1998321.04,1812768.26,1853161.99,1916812.74,1925585.5714285714,1923515.1026666665
1,2012-06-04,2129035.91,0,68.43,3.891,221.0737638,6.891,2012,6,4,0,23,1799520.14,1910092.37,1748000.65,1800171.36,1923692.982857143,1912238.7906666666
1,2012-06-07,2041507.4,0,84.2,3.227,221.5215064,6.565,2012,6,7,3,23,2129035.91,1952555.66,2290549.32,1866243.0,1954970.6314285712,1916857.1949999998
1,2012-07-09,1898777.07,1,87.65,3.73,222.0747635,6.565,2012,7,9,0,28,2041507.4,1935299.94,1929153.16,1809119.7,1967678.0228571426,1921013.6836666665
1,2012-08-06,2010216.49,0,78.69,3.452,221.3877467,6.891,2012,8,6,0,32,1898777.07,1946104.64,2168041.61,1954952.0,1962460.47,1924300.5406666666
1,2012-09-03,1937628.26,0,57.11,3.669,220.6974332,7.057,2012,9,3,0,36,2010216.49,1923957.09,1879107.31,1933756.21,1971619.3057142857,1929099.657
1,2012-10-02,2103322.68,1,46.98,3.409,219.9049073,7.057,2012,10,2,1,40,1937628.26,1998321.04,1920725.15,1929346.23,1973572.33,1933383.2756666667
1,2012-10-08,1866719.96,0,88.55,3.494,221.5954138,6.565,2012,10,8,0,41,2103322.68,1799520.14,1812768.26,1981607.78,1988572.5642857142,1938328.965
1,2012-11-05,1917520.99,0,73.87,3.688,221.3632212,6.891,2012,11,5,0,45,1866719.96,2129035.91,1910092.37,1959707.9,1998172.5385714285,1936094.4233333333
1,2012-12-10,1900745.13,0,60.97,3.601,223.0154263,6.17,2012,12,10,0,50,1917520.99,2041507.4,1952555.66,1876704.26,1967956.1214285714,1935700.2486666664
2,2011-05-08,409981.25,0,88.45,3.684,218.9023209,7.567,2011,5,8,6,18,459443.22,368962.72,352260.97,358784.1,421002.1185714286,457614.54068965523
2,2011-06-05,413042.12,0,69.45,3.906,219.1959827,7.574,2011,6,5,6,22,409981.25,375988.69,467642.03,423294.4,426861.90857142856,405630.41172413796
2,2011-07-01,378241.34,0,53.35,2.976,214.6955104,7.551,2011,7,1,4,26,413042.12,472511.32,355017.09,381151.72,432155.2557142857,405877.4686666667
2,2011-07-10,403342.4,0,75.54,3.285,220.4299007,7.197,2011,7,10,6,27,378241.34,394507.84,420728.96,366473.97,418688.1157142857,406526.0433333333
2,2011-08-04,384075.31,0,72.55,3.622,218.4553663,7.574,2011,8,4,3,31,403342.4,438516.53,384200.69,476420.77,419950.1957142857,405860.9766666667
2,2011-08-07,395146.24,0,85.38,3.48,218.6424704,7.567,2011,8,7,6,31,384075.31,437084.51,386635.03,396968.8,412172.87857142853,405958.42966666666
2,2011-09-09,377347.49,1,81.72,3.546,219.2135305,7.567,2011,9,9,4,36,395146.24,459443.22,374556.08,461622.22,406181.6971428571,406914.172
2,2011-09-12,468772.8,0,49.26,3.158,222.4167852,7.197,2011,9,12,0,37,377347.49,409981.25,368962.72,415202.04,394453.7357142857,403611.7293333333
2,2011-10-06,391638.75,0,84.84,3.648,218.4037974,7.574,2011,10,6,3,40,468772.8,413042.12,375988.69,423175.56,402852.5285714286,406005.19600000005
2,2011-11-02,430526.21,1,43.57,3.022,216.2660913,7.551,2011,11,2,2,44,391638.75,378241.34,472511.32,402635.76,399794.9042857143,403672.41366666666
2,2011-11-03,404753.3,0,61.29,3.459,217.4653683,7.551,2011,11,3,3,44,430526.21,403342.4,394507.84,399323.86,407264.17142857146,404183.2193333333
2,2011-11-11,407764.25,0,61.7,3.297,221.4117517,7.197,2011,11,11,4,45,404753.3,384075.31,438516.53,395107.35,407465.7285714285,403569.14400000003
2,2011-12-08,380376.85,0,88.88,3.638,218.9605873,7.567,2011,12,8,3,49,407764.25,395146.24,437084.51,415870.28,410849.86285714287,403740.0936666667
2,2012-01-06,432268.53,0,81.55,3.501,225.2518313,6.664,2012,1,6,4,1,380376.85,377347.49,459443.22,349214.18,408739.95,403108.5266666666
2,2012-02-03,469752.56,0,61.65,3.63,224.3470245,6.833,2012,2,3,4,5,432268.53,468772.8,409981.25,352260.97,416585.81285714294,404347.2326666667
2,2012-03-02,424960.66,0,59.33,3.36,223.6591137,6.833,2012,3,2,4,9,469752.56,391638.75,413042.12,467642.03,416725.77857142856,406143.3086666667
2,2012-03-08,419990.29,0,86.55,3.417,225.4636332,6.334,2012,3,8,3,10,424960.66,430526.21,378241.34,355017.09,421486.0514285714,408668.1913333333
2,2012-04-05,439913.57,0,79.51,3.749,225.1797511,6.664,2012,4,5,3,14,419990.29,404753.3,403342.4,420728.96,419980.92,410925.83533333335
2,2012-05-10,443557.65,0,72.74,3.617,226.7210356,6.034,2012,5,10,3,19,439913.57,407764.25,384075.31,384200.69,425003.8157142857,410001.5533333334
2,2012-06-01,398178.21,0,52.42,3.157,223.1923049,6.833,2012,6,1,4,22,443557.65,380376.85,395146.24,386635.03,430117.1585714286,412952.90533333336
2,2012-06-04,503232.13,0,73.01,3.891,224.9393405,6.664,2012,6,4,0,23,398178.21,432268.53,377347.49,374556.08,432660.21,412201.21366666665
2,2012-06-07,411206.5,0,83.14,3.227,225.3916254,6.334,2012,6,7,3,23,503232.13,469752.56,468772.8,368962.72,442797.86714285717,416168.9283333334
2,2012-07-09,408229.73,1,84.99,3.73,225.9660263,6.334,2012,7,9,0,28,411206.5,424960.66,391638.75,375988.69,434434.1442857143,416987.97733333334
2,2012-08-06,446336.8,0,81.65,3.452,225.2521458,6.664,2012,8,6,0,32,408229.73,419990.29,430526.21,472511.32,432044.0114285714,418110.4323333333
2,2012-09-03,445162.05,0,60.71,3.669,224.5620291,6.833,2012,9,3,0,36,446336.8,439913.57,404753.3,394507.84,435807.7985714286,420689.56833333336
2,2012-10-02,473292.47,1,51.65,3.409,223.753643,6.833,2012,10,2,1,40,445162.05,443557.65,407764.25,438516.53,436557.5814285715,422995.347
2,2012-10-08,391811.6,0,85.85,3.494,225.4735085,6.334,2012,10,8,0,41,473292.47,398178.21,380376.85,437084.51,440805.4128571428,423021.38533333334
2,2012-11-05,431985.36,0,75.19,3.688,225.2351496,6.664,2012,11,5,0,45,391811.6,503232.13,432268.53,459443.22,439895.89714285714,422931.5106666666
2,2012-12-10,410804.39,0,70.31,3.601,226.9239785,6.034,2012,12,10,0,50,431985.36,411206.5,469752.56,409981.25,429717.7871428571,422713.805
3,2011-05-08,2160057.39,0,86.09,3.662,129.1846452,5.644,2011,5,8,6,18,2281217.31,2051533.53,1865820.81,1842821.02,2125727.0500000003,1951328.038275862
3,2011-06-05,2063682.76,0,63.41,3.866,129.0444333,5.946,2011,6,5,6,22,2160057.39,2078420.31,2302504.86,1979247.12,2141230.4585714284,2010916.7289655174
3,2011-07-01,1862476.27,0,39.34,2.98,127.1917742,6.51,2011,7,1,4,26,2063682.76,2180999.26,1870619.23,1881337.21,2139125.094285714,2012675.596666667
3,2011-07-10,2166737.65,0,65.79,3.299,129.6938,5.143,2011,7,10,6,27,1862476.27,2065377.15,2188307.39,1935857.58,2093621.81,2013330.7716666667
3,2011-08-04,2074953.46,0,62.61,3.605,128.8238065,5.946,2011,8,4,3,31,2166737.65,2119086.04,1894324.09,2102530.17,2108101.881428572,2019580.4560000002
3,2011-08-07,2066541.86,0,84.59,3.469,129.1125,5.644,2011,8,7,6,31,2074953.46,2103455.75,1999794.26,1903290.58,2101797.227142857,2026034.331
3,2011-09-09,2093139.01,1,73.34,3.554,129.3686129,5.644,2011,9,9,4,36,2066541.86,2281217.31,1900246.47,2135143.87,2096523.8142857142,2030390.4736666668
3,2011-09-12,2508955.24,0,31.64,3.153,129.8555333,5.143,2011,9,12,0,37,2093139.01,2160057.39,2051533.53,1971057.44,2069655.485714286,2030077.435
3,2011-10-06,2073951.38,0,80.05,3.64,129.0357097,5.946,2011,10,6,3,40,2508955.24,2063682.76,2078420.31,2013115.79,2119498.035714286,2050266.2569999998
3,2011-11-02,2187847.29,1,33.29,3.033,127.859129,6.51,2011,11,2,2,44,2073951.38,1862476.27,2180999.26,1907638.58,2120964.9814285715,2048226.5073333334
3,2011-11-03,2039818.41,0,50.93,3.461,128.3995,6.51,2011,11,3,3,44,2187847.29,2166737.65,2065377.15,2000626.14,2167446.555714286,2055452.8356666667
3,2011-11-11,2203028.96,0,47.12,3.286,129.8167097,5.143,2011,11,11,4,45,2039818.41,2074953.46,2119086.04,1951494.85,2149315.2357142856,2056342.9230000002
3,2011-12-08,2105668.74,0,82.98,3.617,129.2015806,5.644,2011,12,8,3,49,2203028.96,2066541.86,2103455.75,1818452.72,2167611.7357142856,2066189.269
3,2012-01-06,2179360.94,0,77.41,3.483,130.9592258,4.308,2012,1,6,4,1,2105668.74,2093139.01,2281217.31,1812208.22,2173201.29,2069690.689
3,2012-02-03,2206319.9,0,50.38,3.619,130.6457931,4.607,2012,2,3,4,5,2179360.94,2508955.24,2160057.39,1865820.81,2185518.7085714284,2077286.2253333335
3,2012-03-02,2173373.91,0,41.81,3.354,130.3496774,4.607,2012,3,2,4,9,2206319.9,2073951.38,2063682.76,2302504.86,2142285.0885714283,2090215.1313333334
3,2012-03-08,2174514.13,0,83.86,3.374,130.737871,4.077,2012,3,8,3,10,2173373.91,2187847.29,1862476.27,1870619.23,2156488.307142857,2102253.9876666665
3,2012-04-05,2196968.33,0,80.14,3.747,131.136,4.308,2012,4,5,3,14,2174514.13,2039818.41,2166737.65,2188307.39,2154583.57,2112543.765
3,2012-05-10,2209835.43,0,63.07,3.62,131.0756667,3.879,2012,5,10,3,19,2196968.33,2203028.96,2074953.46,1894324.09,2177033.5585714285,2109025.8806666667
3,2012-06-01,2047766.07,0,38.64,3.158,130.1575161,4.607,2012,6,1,4,22,2209835.43,2105668.74,2066541.86,1999794.26,2178005.9114285717,2120333.087333333
3,2012-06-04,2470206.13,0,67.69,3.864,131.0375484,4.308,2012,6,4,0,23,2047766.07,2179360.94,2093139.01,1900246.47,2169734.1014285716,2115648.3766666665
3,2012-06-07,2224499.28,0,80.37,3.187,130.7196333,4.077,2012,6,7,3,23,2470206.13,2206319.9,2508955.24,2051533.53,2211283.4142857143,2134844.444666667
3,2012-07-09,2125104.72,1,82.09,3.709,130.9325484,4.077,2012,7,9,0,28,2224499.28,2173373.91,2073951.38,2078420.31,2213880.4685714287,2142334.612
3,2012-08-06,2245257.18,0,78.11,3.433,130.8896774,4.308,2012,8,6,0,32,2125104.72,2174514.13,2187847.29,2180999.26,2206984.87,2149829.887
3,2012-09-03,2202450.81,0,53.63,3.667,130.7413793,4.607,2012,9,3,0,36,2245257.18,2196968.33,2039818.41,2065377.15,2217091.02,2156287.3419999997
3,2012-10-02,2374660.64,1,33.0,3.411,130.3849032,4.607,2012,10,2,1,40,2202450.81,2209835.43,2203028.96,2119086.04,2217874.2314285715,2160421.6920000003
3,2012-10-08,2193367.69,0,83.21,3.476,130.7561613,4.077,2012,10,8,0,41,2374660.64,2047766.07,2105668.74,2103455.75,2241420.69,2166877.0713333334
3,2012-11-05,2127661.17,0,67.64,3.685,131.1453333,4.308,2012,11,5,0,45,2193367.69,2470206.13,2179360.94,2281217.31,2262220.9214285715,2171143.4226666666
3,2012-12-10,2133026.07,0,57.11,3.603,131.1083333,3.879,2012,12,10,0,50,2127661.17,2224499.28,2206319.9,2160057.39,2213285.927142857,2171429.2603333336
4,2011-05-08,317738.56,0,91.07,3.684,216.1071198,6.529,2011,5,8,6,18,353652.23,327093.89,306533.08,283178.12,337206.86285714287,381871.72517241386
4,2011-06-05,322904.68,0,66.27,3.906,216.3655877,6.489,2011,6,5,6,22,317738.56,315645.53,352811.53,331406.0,335870.38714285713,319460.60068965517
4,2011-07-01,286347.26,0,48.3,2.976,211.9560305,6.634,2011,7,1,4,26,322904.68,376225.61,296641.91,305993.27,336907.40857142856,319575.4033333333
4,2011-07-10,309111.47,0,71.64,3.285,217.6123648,6.3,2011,7,10,6,27,286347.26,329183.92,311825.7,323798.0,324067.64428571425,319681.04133333336
4,2011-08-04,307333.62,0,69.64,3.622,215.6407939,6.489,2011,8,4,3,31,309111.47,329613.2,297293.59,344490.88,321200.15142857144,318937.8903333333
4,2011-08-07,310804.93,0,86.64,3.48,215.8409491,6.529,2011,8,7,6,31,307333.62,329033.66,301827.36,337825.89,318017.3542857143,318982.5686666667
4,2011-09-09,321110.22,1,79.04,3.546,216.4226819,6.529,2011,9,9,4,36,310804.93,353652.23,314316.55,317173.1,315413.25,318549.46633333334
4,2011-09-12,367433.77,0,44.12,3.158,219.540637,6.3,2011,9,12,0,37,321110.22,317738.56,327093.89,288855.71,310764.39142857137,317770.111
4,2011-10-06,304984.14,0,83.61,3.648,215.6064555,6.489,2011,10,6,3,40,367433.77,322904.68,315645.53,325310.3,317863.7071428572,318757.04033333337
4,2011-11-02,311590.54,1,38.25,3.022,213.4944627,6.634,2011,11,2,2,44,304984.14,286347.26,376225.61,303043.02,315303.62999999995,318350.74166666664
4,2011-11-03,293098.1,0,55.74,3.459,214.6729901,6.634,2011,11,3,3,44,311590.54,309111.47,329183.92,333522.6,318909.8128571428,319108.56933333335
4,2011-11-11,311906.7,0,60.71,3.297,218.5699621,6.3,2011,11,11,4,45,293098.1,307333.62,329613.2,290494.85,316622.18857142853,318034.8293333333
4,2011-12-08,289886.16,0,90.16,3.638,216.1678032,6.529,2011,12,8,3,49,311906.7,310804.93,329033.66,328020.49,317275.4857142857,318330.28533333336
4,2012-01-06,359867.8,0,79.72,3.501,222.3343277,5.801,2012,1,6,4,1,289886.16,321110.22,353652.23,291808.87,314287.08999999997,316875.73733333335
4,2012-02-03,359206.21,0,60.66,3.63,221.4342146,5.943,2012,2,3,4,5,359867.8,367433.77,317738.56,306533.08,319823.88714285713,319188.169
4,2012-03-02,333948.0,0,57.35,3.36,220.7561941,5.943,2012,3,2,4,9,359206.21,304984.14,322904.68,352811.53,318648.52142857143,320227.693
4,2012-03-08,324195.17,0,86.91,3.417,222.5385111,5.603,2012,3,8,3,10,333948.0,311590.54,286347.26,296641.91,322786.2157142857,321632.3306666667
4,2012-04-05,360932.69,0,77.1,3.749,222.2594722,5.801,2012,4,5,3,14,324195.17,293098.1,309111.47,311825.7,324586.8771428571,322221.067
4,2012-05-10,343048.29,0,71.17,3.617,223.7744444,5.422,2012,5,10,3,19,360932.69,311906.7,307333.62,297293.59,334277.53285714285,322491.7723333333
4,2012-06-01,312078.71,0,50.21,3.157,220.2969205,5.943,2012,6,1,4,22,343048.29,289886.16,310804.93,301827.36,338726.33142857143,324038.6516666666
4,2012-06-04,402985.7,0,70.4,3.891,222.0225762,5.801,2012,6,4,0,23,312078.71,359867.8,321110.22,314316.55,341896.6957142857,324047.08533333335
4,2012-06-07,341214.43,0,82.35,3.227,222.4714336,5.603,2012,6,7,3,23,402985.7,359206.21,367433.77,327093.89,348056.3957142857,327570.1556666667
4,2012-07-09,350648.91,1,86.3,3.73,223.0298805,5.603,2012,7,9,0,28,341214.43,333948.0,304984.14,315645.53,345486.1414285715,328883.058
4,2012-08-06,341704.59,0,81.02,3.452,222.33627,5.801,2012,8,6,0,32,350648.91,324195.17,311590.54,376225.61,347871.9857142857,330094.13666666666
4,2012-09-03,347295.6,0,57.69,3.669,221.6460048,5.943,2012,9,3,0,36,341704.59,360932.69,293098.1,329183.92,350373.3314285715,330581.16000000003
4,2012-10-02,349239.88,1,48.57,3.409,220.849586,5.943,2012,10,2,1,40,347295.6,343048.29,311906.7,329613.2,348425.1757142857,331636.16233333334
4,2012-10-08,306759.7,0,86.96,3.494,222.5472987,5.603,2012,10,8,0,41,349239.88,312078.71,289886.16,329033.66,349309.68857142853,330736.638
4,2012-11-05,333870.52,0,73.45,3.688,222.3135926,5.801,2012,11,5,0,45,306759.7,402985.7,359867.8,353652.23,348549.83,329989.164
4,2012-12-10,325345.41,0,66.24,3.601,223.974787,5.422,2012,12,10,0,50,333870.52,341214.43,359206.21,317738.56,338676.23285714287,330131.0746666667
5,2011-05-08,1601584.57,0,91.46,3.684,217.0839894,6.925,2011,5,8,6,18,1523420.38,1694551.15,1424225.44,1328468.89,1587320.7228571426,1556683.0172413792
5,2011-06-05,1504651.57,0,65.42,3.906,217.3547569,6.855,2011,6,5,6,22,1601584.57,1481618.74,1834737.58,1770333.9,1574039.7828571429,1600397.2948275863
5,2011-07-01,1350441.68,0,47.78,2.976,212.9134266,6.858,2011,7,1,4,26,1504651.57,1688531.34,1685652.35,1759777.25,1577330.1871428571,1597205.7706666668
5,2011-07-10,1481739.2,0,74.1,3.285,218.59704,6.551,2011,7,10,6,27,1350441.68,1705506.29,1606283.86,1510925.32,1529031.6642857143,1597938.1970000002
5,2011-08-04,1534594.0,0,70.35,3.622,216.6244334,6.855,2011,8,4,3,31,1481739.2,1514999.17,1558621.36,1677067.24,1497064.937142857,1588318.3736666667
5,2011-08-07,1709373.62,0,88.36,3.48,216.8200275,6.925,2011,8,7,6,31,1534594.0,1502617.99,1495536.46,1857380.09,1499864.1985714284,1580812.2653333333
5,2011-09-09,1483574.38,1,80.21,3.546,217.3980304,6.925,2011,9,9,4,36,1709373.62,1523420.38,1459276.77,1652635.1,1529400.7171428571,1587427.2086666669
5,2011-09-12,1903385.14,0,43.64,3.158,220.5457961,6.551,2011,9,12,0,37,1483574.38,1601584.57,1694551.15,1601348.82,1523708.4314285715,1580977.4466666665
5,2011-10-06,1598643.65,0,84.49,3.648,216.5840732,6.855,2011,10,6,3,40,1903385.14,1504651.57,1481618.74,1505442.15,1566822.7985714285,1582510.9483333332
5,2011-11-02,1486920.17,1,39.38,3.022,214.4630941,6.858,2011,11,2,2,44,1598643.65,1350441.68,1688531.34,1633241.59,1580250.2385714285,1580711.2333333334
5,2011-11-03,1494497.39,0,57.71,3.459,215.6488731,6.858,2011,11,3,3,44,1486920.17,1481739.2,1705506.29,1619920.04,1599747.1657142858,1576896.945
5,2011-11-11,1536176.54,0,61.33,3.297,219.5631135,6.551,2011,11,11,4,45,1494497.39,1534594.0,1514999.17,1360317.9,1601569.7642857141,1576532.1196666665
5,2011-12-08,1484995.38,0,90.49,3.638,217.1438281,6.925,2011,12,8,3,49,1536176.54,1709373.62,1502617.99,1667181.82,1601795.8414285716,1573296.618
5,2012-01-06,1681121.38,0,80.39,3.501,223.3539397,5.964,2012,1,6,4,1,1484995.38,1483574.38,1523420.38,1690317.99,1569741.807142857,1568799.1293333333
5,2012-02-03,1550385.65,0,60.32,3.63,222.4521862,6.132,2012,2,3,4,5,1681121.38,1903385.14,1601584.57,1424225.44,1597962.8071428572,1579492.5786666668
5,2012-03-02,1496305.78,0,57.45,3.36,221.7707093,6.132,2012,3,2,4,9,1550385.65,1598643.65,1504651.57,1834737.58,1547534.3085714285,1575599.3730000001
5,2012-03-08,1627274.93,0,87.55,3.417,223.5607856,5.668,2012,3,8,3,10,1496305.78,1486920.17,1350441.68,1685652.35,1532914.6128571427,1569132.2993333333
5,2012-04-05,1543461.12,0,77.66,3.749,223.2800541,5.964,2012,4,5,3,14,1627274.93,1494497.39,1481739.2,1606283.86,1552965.2928571426,1575900.6156666665
